pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Bosmina,1,0.2559,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.4179,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.3439,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Bosmina,1,0.2278,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Nauplii,1,0.2046,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Bosmina,1,0.2538,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.3278,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Nauplii,1,0.241,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.293,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.246,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Bosmina,1,0.3318,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.35,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Nauplii,1,0.2073,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.3959,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.2723,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.377,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Nauplii,1,0.3032,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.308,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.3625,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Bosmina,1,0.3154,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.3417,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Bosmina,1,0.2678,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Nauplii,1,0.1523,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.3736,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.4646,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Nauplii,1,0.2153,NA,NA
1,"enriched, cyprinids",1,7/31/2019,D,EP,16,5,250,50,Ceriodaphnia,1,0.2791,NA,NA
