pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4421,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2998,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.372,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2954,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4263,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3225,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2879,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.379,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Chydorus,1,0.2065,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2923,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3658,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3784,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Bosmina,1,0.2406,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4137,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2803,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.314,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3687,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2915,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Leptodiaptomus,1,1.1512,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.141,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3889,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1497,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3182,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3272,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3329,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3689,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.2157,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4553,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3433,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2702,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Chydorus,1,0.2164,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Bosmina,1,0.2504,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.2056,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3391,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.2419,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Bosmina,1,0.2568,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Bosmina,1,0.2208,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3212,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2684,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1193,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1619,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2691,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1474,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4371,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4537,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.2664,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2535,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4439,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3231,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.394,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4605,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.363,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3611,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4153,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3146,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Bosmina,1,0.2278,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.371,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.23,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4056,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.2091,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3561,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2864,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3074,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1811,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4065,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4201,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2488,NA,NA
1,"enriched, cyprinids",2,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.2299,NA,NA
