pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.2549,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.2291,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.2895,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Ceriodaphnia,1,0.3667,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.2105,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.2207,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.1873,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Nauplii,1,0.128,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.241,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Daphnia,1,0.4208,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.2589,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.2307,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Nauplii,1,0.1137,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Eubosmina,1,0.2828,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.2238,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.1808,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.1867,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Nauplii,1,0.1872,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Ceriodaphnia,1,0.3436,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.1774,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.201,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Nauplii,1,0.2322,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.2827,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.2055,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.2796,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.1903,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Acanthocyclops,1,0.7582,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Nauplii,1,0.2621,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Nauplii,1,0.16,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.1894,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Bosmina,1,0.2198,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Ceriodaphnia,1,0.2417,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.2118,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.1924,NA,NA
1,"enriched, cyprinids",5,7/31/2019,D,MC,4,12,250,20.83333333,Chydorus,1,0.1642,NA,NA
