pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Ceriodaphnia,1,0.3223,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2349,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2688,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2242,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2335,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2172,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2495,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2608,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2643,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Nauplii,1,0.2044,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.259,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2424,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2466,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Ceriodaphnia,1,0.3086,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Leptodiaptomus,1,1.0306,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2699,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2028,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Nauplii,1,0.2073,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.1744,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2478,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2625,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2567,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2052,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Ceriodaphnia,1,0.3084,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Ceriodaphnia,1,0.2354,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2085,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Chydorus,1,0.2537,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Bosmina,1,0.2694,NA,NA
1,"enriched, cyprinids",3,7/31/2019,D,OL,4,13,250,19.23076923,Ceriodaphnia,1,0.3851,NA,NA
