pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3871,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.2883,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3665,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3068,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.1388,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.1834,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Diacyclops,1,0.2732,NA,T
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.2131,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Leptodiaptomus,1,1.0792,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.286,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.2811,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Diacyclops,1,0.4095,NA,T
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.2885,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.267,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.4857,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.38,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3895,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.2506,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.4956,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.2125,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Epischura,1,0.5664,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3857,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.2962,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Skistodiaptomus,1,1.0376,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.198,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3709,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.25,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.2262,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.438,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.136,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.273,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.4475,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.2852,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3076,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Diacyclops,1,0.3439,NA,T
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.3999,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Diacyclops,1,0.3928,NA,T
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Ceriodaphnia,1,0.302,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.3246,NA,NA
2,"unenriched, cyprinids and percids",26,8/1/2019,N,EP,16,5,250,50,Nauplii,1,0.2571,NA,NA
