pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Epischura,1,0.4304,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.2737,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.5386,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Epischura,1,0.584,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.2672,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.4584,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.3944,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.2613,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Nauplii,1,0.1506,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Nauplii,1,0.2851,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Leptodiaptomus,1,1.1872,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.3047,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Diacyclops,1,0.3062,NA,T
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.4193,NA,NA
2,"unenriched, cyprinids and percids",27,8/1/2019,N,HP,8,5,250,50,Ceriodaphnia,1,0.3821,NA,NA
