pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.417,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.2763,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.5225,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Leptodiaptomus,1,1.2129,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Diacyclops,1,0.4887,NA,F
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.2267,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4166,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3704,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4036,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Bosmina,1,0.2178,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.2625,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3008,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3322,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3383,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.2816,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Diacyclops,1,0.3048,NA,T
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.2363,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.2035,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Diacyclops,1,0.3652,NA,T
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4219,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4155,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4799,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Epischura,1,0.5714,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3628,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4427,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.2912,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Acanthocyclops,1,0.6034,NA,F
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Bosmina,1,0.3139,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.2964,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.2577,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Bosmina,1,0.2582,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3105,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.2658,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.2929,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Skistodiaptomus,1,1.0234,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3353,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Acanthocyclops,1,0.6401,NA,F
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.4481,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.1931,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.1215,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.2244,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.2352,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.196,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Nauplii,1,0.1467,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3008,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3374,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Diacyclops,1,0.5269,NA,F
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Bosmina,1,0.232,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.5083,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.3679,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Skistodiaptomus,1,0.8289,NA,NA
2,"unenriched, cyprinids and percids",28,8/1/2019,N,OL,4,6,250,41.66666667,Ceriodaphnia,1,0.5607,NA,NA
