pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Acanthocyclops,1,0.6143,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Acanthocyclops,1,0.6057,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4939,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4825,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4751,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4732,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4709,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.468,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4589,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4586,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4551,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4537,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4535,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4479,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4436,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4425,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4388,NA,NA
1,"enriched, cyprinids",22,8/1/19,N,EP,16,5,250,50,Ceriodaphnia,1,0.4346,NA,NA
